country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Algeria,,,,,,,,,6000000,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Angola,,,,,,,,,,,,,,,,,,,,3000000,0,,,,,,,,,,,,8000000,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,
Argentina,,,6000000,,4000000,,,0,8000000,,0,,11000000,,,,1000000,,,8000000,1000000,24000000,3000000,1000000,,,,4000000,1000000,,6000000,0,,11000000,4000000,5000000,,,,,2000000,6000000,2000000,,,,2000000,,,,,1000000,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,
Australia,,2000000,4000000,,,,,,,26000000,17000000,36000000,6000000,72000000,92000000,131000000,113000000,62000000,21000000,22000000,15000000,15000000,24000000,31000000,62000000,10000000,57000000,89000000,18000000,18000000,158000000,85000000,,30000000,36000000,36000000,16000000,20000000,4000000,,,43000000,47000000,44000000,2000000,49000000,14000000,18000000,26000000,80000000,115000000,143000000,45000000,54000000,97000000,87000000,134000000,98000000,38000000,148000000
Austria,,,,,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,0,,,37000000,126000000,54000000,70000000,60000000,56000000,58000000,248000000,40000000,30000000,12000000,12000000,30000000,20000000,20000000,10000000,17000000,,18000000,1000000,29000000,23000000,24000000,17000000,83000000,3000000,3000000,4000000,63000000,100000000,15000000,44000000,49000000,53000000,25000000,29000000,15000000,10000000,16000000,22000000,6000000,3000000
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,7000000,129000000,341000000,63000000,452000000,293000000,49000000,63000000,57000000,19000000,53000000,43000000,6000000,224000000,41000000,159000000,96000000,65000000,268000000,68000000,142000000,152000000,50000000,45000000,115000000
Belgium,3000000,0,2000000,0,1000000,,12000000,,,5000000,,0,,,,,,,2000000,3000000,1000000,19000000,41000000,89000000,115000000,3000000,19000000,,18000000,36000000,1000000,1000000,,,33000000,167000000,59000000,93000000,46000000,45000000,26000000,37000000,35000000,15000000,47000000,159000000,59000000,19000000,217000000,243000000,9000000,116000000,22000000,55000000,10000000,12000000,7000000,12000000,16000000,42000000
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,14000000,,3000000,,,,,,
Brazil,2000000,12000000,,,,,,,,3000000,,0,,,32000000,59000000,104000000,145000000,179000000,70000000,156000000,62000000,122000000,196000000,267000000,197000000,126000000,191000000,183000000,47000000,96000000,114000000,90000000,36000000,54000000,33000000,23000000,23000000,16000000,,,,19000000,,46000000,1000000,44000000,53000000,92000000,43000000,143000000,31000000,33000000,31000000,42000000,41000000,111000000,37000000,100000000,10000000
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000000,,,,,12000000,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,106000000,,,5000000,6000000,42000000,16000000,28000000,55000000,1000000,21000000,6000000,39000000,167000000,2000000,10000000,37000000,44000000,19000000,86000000,5000000,9000000,4000000,16000000,4000000,2000000,13000000,21000000,14000000,70000000,61000000,30000000,14000000,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,1000000,,,,,,,,,,,,,,,,,,,
Canada,52000000,314000000,188000000,214000000,253000000,111000000,102000000,53000000,197000000,166000000,196000000,293000000,327000000,130000000,121000000,148000000,329000000,169000000,190000000,195000000,161000000,130000000,259000000,120000000,108000000,100000000,261000000,279000000,153000000,49000000,101000000,121000000,143000000,146000000,167000000,263000000,160000000,95000000,40000000,79000000,74000000,129000000,183000000,288000000,286000000,242000000,244000000,342000000,247000000,192000000,250000000,330000000,277000000,191000000,203000000,346000000,120000000,72000000,111000000,188000000
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,0,,,0,,0,0,,1000000,,,3000000,3000000,4000000,4000000,,3000000,8000000,,,,29000000,,2000000,1000000,1000000,,1000000,,,,,,100000000,,,,,,20000000,,,,0,
China,285000000,35000000,51000000,11000000,67000000,386000000,619000000,410000000,730000000,657000000,893000000,1290000000,1240000000,674000000,511000000,668000000,586000000,224000000,617000000,560000000,949000000,642000000,1500000000,1770000000,1930000000,1260000000,1860000000,2610000000,1410000000,1040000000,941000000,1310000000,700000000,1440000000,1110000000,1010000000,768000000,429000000,353000000,332000000,299000000,515000000,525000000,700000000,413000000,286000000,668000000,510000000,652000000,1140000000,1480000000,1280000000,1540000000,2080000000,1230000000,1800000000,2370000000,1350000000,1140000000,1420000000
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,,,,,,,,,,0,,,,,10000000,,10000000
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,22000000,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,3000000,,
Cuba,,,,,,,,,,,,,,,,1000000,,,12000000,10000000,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202000000,319000000,143000000,126000000,24000000,21000000,57000000,81000000,88000000,60000000,64000000,1000000,70000000,44000000,32000000,32000000,23000000,4000000,10000000,8000000,40000000,26000000,150000000,148000000,88000000,88000000,13000000
Denmark,20000000,,,,60000000,20000000,,131000000,28000000,3000000,,,,,,23000000,,,,,18000000,29000000,64000000,115000000,,,,117000000,40000000,,72000000,10000000,,183000000,272000000,16000000,,,1000000,6000000,20000000,1000000,10000000,5000000,,,9000000,6000000,17000000,14000000,8000000,30000000,33000000,9000000,17000000,25000000,25000000,21000000,28000000,4000000
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,2000000,
Egypt,,0,7000000,8000000,2000000,,13000000,3000000,26000000,15000000,39000000,,,,,16000000,,69000000,80000000,13000000,29000000,77000000,81000000,71000000,37000000,5000000,19000000,61000000,65000000,63000000,20000000,,13000000,22000000,15000000,9000000,5000000,5000000,,,,,,,,,,,,,,,,,7000000,22000000,,,,2000000
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,0,,,,,,,0,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,0,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,35000000,,51000000,,,,,,,,,,17000000,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,60000000,1000000,1000000,,,1000000,86000000,33000000,33000000,33000000,2000000,39000000,30000000,,63000000,63000000,,,63000000,63000000,,,20000000,,,,,,1000000,,,22000000,11000000,17000000,26000000,26000000,9000000,10000000,34000000,28000000,12000000,33000000,34000000,40000000,34000000,52000000,138000000,77000000,79000000,52000000,61000000,41000000,104000000,77000000,93000000,20000000,43000000,25000000,42000000,24000000
France,942000000,971000000,974000000,1230000000,1420000000,1200000000,1650000000,1530000000,1480000000,1460000000,1690000000,2300000000,2600000000,2880000000,2100000000,2190000000,2010000000,2680000000,3300000000,3010000000,3850000000,3790000000,3830000000,3460000000,3010000000,4040000000,3020000000,1800000000,1990000000,2290000000,1820000000,1200000000,1250000000,979000000,901000000,1020000000,1940000000,3270000000,3170000000,1820000000,1080000000,1420000000,1430000000,1400000000,2280000000,1820000000,1670000000,2370000000,1970000000,1890000000,866000000,1730000000,1010000000,1470000000,1630000000,2000000000,2040000000,2370000000,1770000000,3370000000
Gabon,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000000,69000000,,69000000,,16000000,,,,,,,,,,,,6000000,7000000,,
Germany,156000000,12000000,146000000,133000000,438000000,332000000,713000000,775000000,574000000,739000000,1430000000,1360000000,1380000000,226000000,1210000000,1450000000,1660000000,1900000000,1670000000,1460000000,1590000000,1900000000,1530000000,2250000000,2800000000,1280000000,1370000000,924000000,1400000000,1290000000,1860000000,2400000000,1490000000,1490000000,2840000000,1510000000,1950000000,939000000,1810000000,1860000000,1610000000,896000000,906000000,1650000000,1110000000,2070000000,2760000000,3290000000,2360000000,2460000000,2660000000,1320000000,747000000,779000000,1790000000,1770000000,2510000000,1980000000,1070000000,1190000000
Ghana,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,19000000,,,,,,,,,,,,,,
Greece,,,,,7000000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000,10000000,18000000,,19000000,31000000,9000000,3000000,2000000,2000000,,6000000,22000000,13000000,23000000,,,,,,,,,,,30000000,,
Guyana,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,18000000,18000000,37000000,28000000,,,8000000,44000000,8000000,8000000,,,,,4000000,30000000,4000000,4000000,,,,,,,,,,21000000,,6000000,,24000000,,,,,34000000,,,82000000,,9000000,,,,,,41000000,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,1000000,,,7000000,2000000,21000000,24000000,31000000,,,27000000,22000000,,,2000000,,,,,0,1000000,0,3000000,0,3000000,9000000,2000000,2000000,0,0,0,0,21000000,2000000,0,4000000,27000000,19000000,33000000,23000000,15000000,27000000,5000000,3000000,,14000000,36000000,42000000,45000000,56000000,43000000,115000000
Indonesia,,,,7000000,,,,,,,12000000,,,,,,,,9000000,,4000000,,,,,8000000,4000000,,,,,,,16000000,16000000,25000000,,8000000,,49000000,,16000000,49000000,,25000000,8000000,8000000,,1000000,,,8000000,,,,,86000000,94000000,15000000,8000000
Iran,,,3000000,,,,,28000000,,,23000000,6000000,106000000,6000000,129000000,81000000,,,,,0,0,0,0,1000000,1000000,1000000,1000000,1000000,1000000,0,1000000,1000000,1000000,0,1000000,2000000,0,0,0,0,0,3000000,9000000,1000000,2000000,75000000,,43000000,45000000,45000000,86000000,21000000,12000000,47000000,15000000,5000000,20000000,,
Iraq,3000000,,,,,,,,,,,,,,,,,,,,28000000,,,,,,,,168000000,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,2000000,9000000,9000000,2000000,,,,,,,,,,,,,,,,,,,,,,,,16000000,32000000,31000000,28000000,28000000,26000000,1000000,26000000,27000000,14000000,,,,,
Israel,,,,,5000000,10000000,14000000,13000000,23000000,24000000,13000000,21000000,31000000,13000000,45000000,109000000,54000000,202000000,212000000,190000000,270000000,219000000,256000000,418000000,281000000,208000000,352000000,137000000,75000000,211000000,85000000,151000000,324000000,382000000,296000000,166000000,286000000,247000000,229000000,169000000,404000000,474000000,579000000,409000000,609000000,510000000,406000000,554000000,373000000,744000000,637000000,538000000,455000000,420000000,393000000,720000000,1390000000,1200000000,655000000,369000000
Italy,104000000,245000000,261000000,240000000,385000000,295000000,243000000,149000000,192000000,325000000,280000000,395000000,296000000,341000000,417000000,526000000,529000000,505000000,691000000,1300000000,1170000000,1720000000,1690000000,1180000000,1260000000,920000000,228000000,617000000,386000000,335000000,206000000,349000000,248000000,341000000,208000000,297000000,291000000,454000000,426000000,504000000,208000000,270000000,467000000,365000000,263000000,832000000,553000000,749000000,422000000,512000000,539000000,947000000,747000000,862000000,671000000,676000000,618000000,793000000,555000000,491000000
Japan,1000000,61000000,100000000,8000000,14000000,,5000000,,,34000000,,15000000,8000000,34000000,53000000,,,,9000000,11000000,167000000,,,17000000,17000000,44000000,99000000,,,15000000,30000000,68000000,126000000,153000000,162000000,158000000,188000000,32000000,,,,,,,,,,40000000,,,,,,,,,,2000000,3000000,
Jordan,,,,,,,,,,,,36000000,,22000000,23000000,50000000,,18000000,,,,,,76000000,,2000000,7000000,,7000000,64000000,,,,,65000000,,,6000000,,,,,,,42000000,20000000,,13000000,13000000,28000000,117000000,,21000000,25000000,114000000,16000000,17000000,80000000,1000000,86000000
